"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Pathogenicity (human)"
238,"LRA 3300776","CCUG 30208, LMG 18245, CIP 103697, DSM 6173, ATCC 35654, API SA",0,"Aeromonas hydrophila subsp. hydrophila",1
139681,,"DSM 30190",0,"Aeromonas hydrophila subsp. hydrophila",1
254,,"DSM 7311, ATCC 49568, CDC 0787-80, JCM 8316, BCRC 15862, CCM 4355, CCUG 29543, CCUG 30349, CCUG 30353, CECT 4228, CIP 104171, CNCTC 5357, LMG 12221, LMG 13704",1,"Aeromonas jandaei",1
276,,"DSM 19176, ATCC 43979, CCM 2807, CCUG 14830, CECT 4245, CIP 74.33, JCM 2139, LMG 3783, NCIMB 12065, NCTC 12979, CIP 74-33, BCRC 13066, CECT 837, HAMBI 1974, LMG 12159, VTT E-032002",1,"Aeromonas sobria",1
239,"WS 41026","DSM 30014",0,"Aeromonas sp.",1
255,,"DSM 7386, ATCC 35624, CDC 1169-83, CECT 4275, CCUG 27821, JCM 7375, LMG 9075, CCM 4359, CECT 4257, CIP 103438, GIFU 13580, GTC 00706, LMG 18296, NCIMB 13015",1,"Aeromonas veronii",1
256,,"CCUG 56447, CIP 107763, NCIM 5147, CCM 7323, CECT 5761, DSM 17676, MTCC 3249, NCIMB 5147",0,"Aeromonas veronii",1
1778,"B-91-007352, CSD1","DSM 7326, ATCC 53690, CCUG 30456",1,"Afipia felis",1
1779,25E-1,"DSM 16694",0,"Afipia felis",1
11752,,"DSM 8324, ATCC 33384, CCUG 13227, CIP 52.106, NCTC 9710",1,"Aggregatibacter actinomycetemcomitans",1
11753,,"DSM 11122, ATCC 29524, NCTC 10982, CDC B5386, JCM 2435",0,"Aggregatibacter actinomycetemcomitans",1
11754,Y4,"DSM 11123, ATCC 43718, JCM 8578",0,"Aggregatibacter actinomycetemcomitans",1
326,MT1,"DSM 16964",0,"Alcaligenes faecalis",1
328,,"CCUG 710, LMG 1230, DSM 30033, ATCC 15554, CCEB 554, CIP 71.8, NCTC 10416, JCM 5485, CECT 448, CGMCC 1.1799, IAM 12371",0,"Alcaligenes faecalis",1
327,"16 (R. Hugh 135)","DSM 30030, ATCC 8750, CCM 1052, CIP 60.80, IFO 13111, NBRC 13111, NCDO 868, NCIB 8156, CCUG 1814, NCTC 11953, LMG 1229, JCM 20522, BCRC 10828, CCUG 1325, CECT 928, CGMCC 1.1786, HAMBI 1907, IAM 12369, IAM 12586, JCM 1474, JCM 20663, KCTC 2678, LMG 2100, LMG 3366, LMG 3369, LMG 3371, NCAIM B.01104, NCAIM B.02076, NCIMB 8156, VKM B-1518, VTT E-97056",1,"Alcaligenes faecalis subsp. faecalis",1
324,799,"DSM 2576",0,"Alcaligenes faecalis subsp. faecalis",1
325,"LRA 410282","DSM 6174, ATCC 35655",0,"Alcaligenes faecalis subsp. faecalis",1
14029,"Carlier 10203, strain 1 Ando","DSM 17216, CCUG 45780, CIP 104286, ATCC 29800, VPI 3293, JCM 16772",1,"Alistipes putredinis",1
16633,S411,"DSM 6400, ATCC 29305",1,"Anaerobiospirillum succiniciproducens",1
16634,"A 273/88","DSM 11806, NCTC 12467, CCUG 46380, ATCC 700432",1,"Anaerobiospirillum thomasii",1
197,11018,"DSM 20595, ATCC 9345, CCM 5947, NCTC 8452",1,"Arcanobacterium haemolyticum",1
198,1656,"DSM 22856, ATCC BAA 1784",0,"Arcanobacterium haemolyticum",1
2094,,"DSM 8739, ATCC 49616, CDC D2686, LMG 10828, WDCM 00065, CCUG 30485, NCTC 12481, RM 4018, JCM 31724, CECT 8221, CIP 103493",1,"Arcobacter butzleri",1
2093,,"DSM 7301, CCUG 10373, LMG 6620, WRI 996/79",0,"Arcobacter butzleri",1
157920,FLI:17-1168,"DSM 107942",0,"Arcobacter butzleri",1
2091,"A169/B, 02766","DSM 7289, ATCC 43158, CCUG 17801, LMG 7536, NCTC 11885, WDCM 00066, MCCM 00660",1,"Arcobacter cryaerophilus",1
11692,,"DSM 17481, ATCC 13361, NCTC 11188, CCUG 12391, CIP 102676",1,"Avibacterium gallinarum",1
970,"natto 3335 UM4, 3335 UM4, pLS20","DSM 4449",0,"Bacillus subtilis",1
971,"natto 3335 UM8, pLS20, 3335 UM8","DSM 4450, PBC pBC16",0,"Bacillus subtilis",1
973,"DB163, pGR71","DSM 4515",0,"Bacillus subtilis",1
974,pMW1,"DSM 4608, BR 157",0,"Bacillus subtilis",1
1161,"pC194, SB202","DSM 4393",0,"Bacillus subtilis subsp. subtilis",1
1162,"BD170, pUB110","DSM 4514, ATCC 37015, NCIB 11624",0,"Bacillus subtilis subsp. subtilis",1
1163,pE194,"DSM 4554, ATCC 37128, BGSC 1E18",0,"Bacillus subtilis subsp. subtilis",1
1165,"1E34, pAM77","DSM 4751, BGSC 1E34",0,"Bacillus subtilis subsp. subtilis",1
1166,"BD426, pBD8","DSM 4871, BGSC 1E21",0,"Bacillus subtilis subsp. subtilis",1
1167,"BD466, pBD10","DSM 4872, BGSC 1E24",0,"Bacillus subtilis subsp. subtilis",1
1168,pPL608,"DSM 4873, ATCC 37108, BGSC 1E32, BR 151",0,"Bacillus subtilis subsp. subtilis",1
1169,"pMK3, YB886","DSM 4874, BGSC 1E38",0,"Bacillus subtilis subsp. subtilis",1
1178,BD170,"DSM 6224, ATCC 37014, PSA pSA2100",0,"Bacillus subtilis subsp. subtilis",1
1181,pTP-4,"DSM 6923, BGSC 1E12, KBS 1",0,"Bacillus subtilis subsp. subtilis",1
1182,pTP-5,"DSM 6924, BGSC 1E13, KBS 2",0,"Bacillus subtilis subsp. subtilis",1
1183,"BD403, pSAO501","DSM 6926, BGSC 1E29",0,"Bacillus subtilis subsp. subtilis",1
1184,"BD490, pBD20","DSM 6927, BGSC 1E26",0,"Bacillus subtilis subsp. subtilis",1
1185,"1012 (pHP13), pHP13, 1012","DSM 8773, BGSC 1E50",0,"Bacillus subtilis subsp. subtilis",1
1585,EN-2,"DSM 2151, ATCC 25285, JCM 11019, NCTC 9343, CCUG 4856, CCM 4712, VPI 2553, CIP 77.16, KCTC 3688, KCTC 5013, LMG 10263, LMG 11261, NCDO 2217",1,"Bacteroides fragilis",1
1584,,"CCUG 25931, DSM 1396, ATCC 23745, NCTC 10581",0,"Bacteroides fragilis",1
1586,"mprl 1839, MPRL 1839/MH3","DSM 9668",0,"Bacteroides fragilis",1
1587,"mprl 1842","DSM 9669",0,"Bacteroides fragilis",1
1589,"mprl 1843","DSM 9671",0,"Bacteroides fragilis",1
158881,COR2-248-WT-1,"DSM 103087",0,"Bacteroides fragilis",1
1634,,"DSM 21432, CCUG 45774, CIP 105477, IBS 382",1,"Bartonella alsatica",1
4068,RZATAU,"DSM 11045",0,"Bilophila wadsworthia",1
160478,Cla-CZ-104,"DSM 109342",0,"Bilophila wadsworthia",1
376,,"DSM 13414, ATCC 19395, CCUG 219, CIP 55.110, LMG 1232, NCTC 452, CCM 6082",1,"Bordetella bronchiseptica",1
375,B-140,"CCUG 2514, NRRL B-140, DSM 10303, ATCC 4617, NCIB 9935, NCTC 8344, PCI 1701, WHO 11",0,"Bordetella bronchiseptica",1
378,,"DSM 11333, ATCC 51783, CIP 104527, LMG 13501, CCUG 33847, CCM 4584, TC 58, JCM 15550",1,"Bordetella hinzii",1
368,522,"DSM 13415, ATCC 15311, CCUG 413, LMG 14449, NCTC 5952",1,"Bordetella parapertussis",1
367,,"DSM 4922",0,"Bordetella parapertussis",1
169100,513A,"ATCC 43994, NCTC 11492, CIP 104603",1,"Brachyspira aalborgi",1
167613,P43/6/78,"ATCC 51139",1,"Brachyspira pilosicoli",1
159519,"1926, 2492/17","DSM 110984",0,"Brachyspira pilosicoli",1
1889,,"CCUG 54647, DSM 16930, LMG 22726, NBRC 102587, Lup LUP21, Lup 21",0,"Brucella lupini",1
1906,717,"DSM 7288, ATCC 25416, DSM 9897, ICPB PC25, NCTC 10743, JCM 5964, BCRC 13208, CCUG 12691, CCUG 13226, CECT 4137, CGMCC 1.1813, CGMCC 1.3393, CIP 80.24, IFO 14074, KCTC 2966, LMG 1222, NBRC 14074, NRRL B-14810, VTT E-94512",1,"Burkholderia cepacia",1
1907,,"DSM 9241, IPT 16",0,"Burkholderia cepacia",1
1908,PB4,"DSM 12775",0,"Burkholderia cepacia",1
1909,B-175,"DSM 50180, ATCC 17770, NCIB 9089, CCUG 2858, LMG 6993",0,"Burkholderia cepacia",1
1910,8,"DSM 50181, ATCC 17759, ICPB 2745-382, NCIB 9085, JCM 2799, AJ 2404, CCUG 18838, CCUG 2855, CECT 322, KCTC 2504, LMG 1275, LMG 2161, NCIMB 9085, NCTC 10661",0,"Burkholderia cepacia",1
1989,J2956,"DSM 22706, CCUG 55526, LMG 23361",1,"Burkholderia contaminans",1
2102,EDMH-1,"DSM 20703, ATCC 33387, CCUG 7319, LMG 6451, NCTC 10941",1,"Campylobacter ureolyticus",1
5493,2340-2-61,"DSM 19204, ATCC 35979, CCTM La 3498, CCUG 53895, CDC 7120, CIP 103936, NCTC 12242",1,"Capnocytophaga canimorsus",1
5494,"79120329, E6447","MCCM 00247, LMG 11513, MCCM 00265, LMG 11540, DSM 19736, ATCC 49044, CCUG 24742, CIP 103937, NCTC 12243",1,"Capnocytophaga cynodegmi",1
2394,TWAR-183,"DSM 19748, ATCC VR-2282",1,"Chlamydia pneumoniae",1
10449,MK,"DSM 30191, ATCC 12472, IFO 12614, NBRC 12614, NCIB 9131, NCTC 9757, CCUG 213, JCM 1249, BCRC 10636, CECT 494, CIP 103350, IAM 12470, ICMP 8644, KCTC 2897, LMG 1267, NCIMB 9131, VTT E-082793",1,"Chromobacterium violaceum",1
10455,"strain Lewitus","DSM 23279, CCM 2076, LMG 3953, NCTC 8182",0,"Chromobacterium violaceum",1
5671,,"DSM 16777, ATCC 29897, CCUG 14483, CDC 3716, CIP 101026, GIFU 1347, LMG 8337, NCTC 10796",1,"Chryseobacterium indologenes",1
2582,"1780, McClung 1780","DSM 1296, ATCC 9689, NCIB 10666, NCTC 11209, CCUG 4938, USDA 90556-M6S, JCM 1296, BCRC 10642, CECT 531, CIP 104282, LMG 15861, LMG 21717, NCIMB 10666",1,"Clostridioides difficile",1
2583,AA1,"DSM 12056",0,"Clostridioides difficile",1
2584,A90,"DSM 12057",0,"Clostridioides difficile",1
22963,R20291,"DSM 27147, NCTC 13366",0,"Clostridioides difficile",1
23853,630,"DSM 27543, ATCC BAA 1382, NCTC 13307",0,"Clostridioides difficile",1
23854,1470,"DSM 27544, ATCC 43598, NCTC 13569, CCUG 37782",0,"Clostridioides difficile",1
23855,"630 Delta erm","DSM 28645",0,"Clostridioides difficile",1
157662,"4167/2013 1","DSM 27638",0,"Clostridioides difficile",1
157663,"4167/2013 2","DSM 27639",0,"Clostridioides difficile",1
157664,"4167/2013 3","DSM 27640",0,"Clostridioides difficile",1
157665,"SC037-01-01, 6551/2013","DSM 28196",0,"Clostridioides difficile",1
157666,SC052-01-01,"DSM 29688",0,"Clostridioides difficile",1
157667,SC009-01-01,"DSM 29745",0,"Clostridioides difficile",1
157668,SC052-02-01,"DSM 29747",0,"Clostridioides difficile",1
157669,"CD-16-113, D/6474/2015","DSM 102978",0,"Clostridioides difficile",1
157670,"3525/15, Goe-91","DSM 105001",0,"Clostridioides difficile",1
158911,"3022, CD3022","DSM 101085",0,"Clostridioides difficile",1
2769,2585,"DSM 7528, ATCC 10092, NCIMB 10665",1,"Clostridium chauvoei",1
2585,Tracol,"DSM 2631, ATCC 19400, NCTC 8380, VPI 5729, CCUG 4853, JCM 1398, BCRC 14512, NCIMB 10634",1,"Clostridium fallax",1
2745,"Mc Clung 2027, 2027, McClung, 29866 (Folsum), 2027, McClung","DSM 5565, ATCC 9650, NCIB 10664, JCM 1402, BCRC 10643, NCIMB 10664, NCTC 13022",1,"Clostridium haemolyticum",1
2747,151,"DSM 14992, ATCC 17861, JCM 1406, CCUG 57219, NCTC 13029, NCIMB 10661",1,"Clostridium novyi",1
2746,,"DSM 5566, ATCC 27606, VPI 8099",0,"Clostridium novyi",1
2631,S107,"DSM 756, ATCC 13124, ATCC 19408, NCIB 6125, NCTC 6125, NCTC 8237, WDCM 00007, CCUG 1795, CIP 103409, JCM 1290, BCRC 10913, CCM 4435, CECT 376, KCTC 3269, LMG 11264, NCIMB 6125",1,"Clostridium perfringens",1
2630,SM19b,"DSM 628",0,"Clostridium perfringens",1
2632,"McClung 1988, BP6K","CCUG 35750, CIP 104612, BCRC 10648, NCIMB 8875, CECT 4647, DSM 798, ATCC 10543, NCIB 8875, WDCM 00174",0,"Clostridium perfringens",1
2633,,"DSM 2943, ATCC 25768, NCIB 10620",0,"Clostridium perfringens",1
2634,C5,"DSM 11778",0,"Clostridium perfringens",1
2635,C8,"DSM 11779",0,"Clostridium perfringens",1
2636,C12,"DSM 11780",0,"Clostridium perfringens",1
2637,C33,"DSM 11781",0,"Clostridium perfringens",1
2638,C36,"DSM 11782",0,"Clostridium perfringens",1
2639,C42,"DSM 11783",0,"Clostridium perfringens",1
2640,"8239, C103","DSM 11784",0,"Clostridium perfringens",1
2641,C186,"DSM 11785",0,"Clostridium perfringens",1
2642,C192,"DSM 11786",0,"Clostridium perfringens",1
2643,"ES-MS 22","DSM 30770",0,"Clostridium perfringens",1
2644,,"DSM 25589, VPI No.5",0,"Clostridium perfringens",1
130924,MJJ0609-4-1,"DSM 29991",0,"Clostridium perfringens",1
130925,D10,"DSM 100947, NCTC 13170, WDCM 00201",0,"Clostridium perfringens",1
158915,WCA-h-251-APC-2,"DSM 106278",0,"Clostridium perfringens",1
2724,795,"DSM 2485, ATCC 14573, IAM 14196, NCIB 10697, JCM 6289, CCUG 4219, NBRC 103192, NCIMB 10697, NCIMB 541",1,"Clostridium tertium",1
2722,,"DSM 662",0,"Clostridium tertium",1
2723,P.II.Col.54,"DSM 748, ATCC 19405, NCTC 541, CCUG 4219, JCM 3813, BCRC 10650, IAM 14195, NCIMB 541",0,"Clostridium tertium",1
160015,Cla-CZ-234,"DSM 109055",0,"Clostridium tertium",1
2790,34946A,"DSM 11744",0,"Clostridium tetani",1
2791,E4222,"DSM 11745",0,"Clostridium tetani",1
3134,S160,"DSM 6922, ATCC 49368, NCFB 2768, CCUG 35685, LMG 19043, JCM 7447, CCM 4123, CECT 4163, CGMCC 1.1939, CIP 103452, IFO 15207, KCTC 3432, NBRC 15207, NCIMB 13130",1,"Corynebacterium amycolatum",1
3135,"PAP 291, Co 291","DSM 44375",0,"Corynebacterium amycolatum",1
3136,"PAP 197, Co 197","DSM 44371",0,"Corynebacterium amycolatum",1
3137,"PAP 232, Co 232","DSM 44372",0,"Corynebacterium amycolatum",1
3138,"PAP 272, Co272","DSM 44373",0,"Corynebacterium amycolatum",1
3139,"PAP 290, Co 290","DSM 44374",0,"Corynebacterium amycolatum",1
3082,,"DSM 20582, ATCC 7715, NCTC 3224, CCUG 2705, JCM 11947, BCRC 12363, CIP 54.80, IMET 10632, JCM 1482, NCDO 1689, NCIMB 701689, PCM 2047",1,"Corynebacterium bovis",1
10842,,"DSM 20295, ATCC 7005, CCUG 20991, CIP 81.17, JCM 1319, NBRC 103062, NCTC 10673, BCRC 12158, CGMCC 1.1887, IAM 12428",1,"Rhodococcus hoagii",1
10841,,"DSM 1990, SC 372-837",0,"Rhodococcus hoagii",1
10843,C7,"DSM 20307, ATCC 25729, ATCC 6939, CCUG 892, CIP 54.72, DSM 43349, HAMBI 2061, JCM 1311, JCM 3209, LMG 18452, NBRC 101255, NBRC 14956, NCTC 1621, NRRL B-16538, VKM Ac-953, WDCM 00028, ACM 4987, BCRC 12859, CCM 3429, CCUG 20987, CCUG 23606, CECT 555, CGMCC 4.1824, IAM 12426, IFM 0162, IFO 14956, IMET 7467, IMSNU 22213, KACC 20051, KCTC 9082, LMG 5358, NBIMCC 1230, NCAIM B.02034, NCIMB 12828, PCM 559",0,"Rhodococcus hoagii",1
10845,,"DSM 43950, ATCC 25694, ATCC 25734, IMET 7466, NCTC 4219",0,"Rhodococcus hoagii",1
10846,VII,"DSM 44426",0,"Rhodococcus hoagii",1
10847,"Gdf C58, Gdf R76, Gordon N4219, R76","DSM 46064, IMET 7468, Tsukamura PO11",0,"Rhodococcus hoagii",1
10848,,"DSM 46101, IAM 12443, IMET 7755, JCM 1315, AJ 1378, CNF 001",0,"Rhodococcus hoagii",1
157816,"PAM1126, 103S","DSM 104936",0,"Rhodococcus hoagii",1
3147,20184,"ATCC 51799, LMG 19058, DSM 46325, CCUG 2708, IMET 11148, NCTC 7910, PCM 554, JCM 10387, CIP 106504",1,"Corynebacterium ulcerans",1
3148,"Armendariz, 1","DSM 7109, ATCC 43042, NCTC 12011, CCUG 18158, JCM 10395, CCM 3975, CECT 4142, CIP 103524, LMG 19041",1,"Corynebacterium urealyticum",1
3149,Bajo,"DSM 7110, ATCC 43043",0,"Corynebacterium urealyticum",1
3150,Garcia,"DSM 7111, ATCC 43044, CCUG 18159",0,"Corynebacterium urealyticum",1
12645,,"DSM 20700, ATCC 25564, CIP 110009, JCM 6498, LMG 16726, NCTC 11865, CCUG 32987, VPI 0507, BCRC 17368, CIP 103262, GIFU 7612, IFO 15672, NBRC 15672, NCFB 2586, NCIMB 702586",1,"Cutibacterium granulosum",1
12646,,"DSM 20458, ATCC 11829, NCTC 10387",0,"Cutibacterium granulosum",1
131380,ET080813,"DSM 27202, CCTCC AB 2013118, CCUG 64215, MCCC 1K00238",1,"Edwardsiella anguillarum",1
4356,"GA 77-52","CCUG 18764, CECT 885, DSM 13697, ATCC 33202, CDC 1976-78, JCM 16934, JCM 1680, CGMCC 1.1873, CIP 81.96, KCTC 12264, LMG 7860, NBRC 105724, NCIMB 13272, NCTC 12122",1,"Edwardsiella ictaluri",1
4355,"K 349","DSM 30052, NBRC 105688, ATCC 15947, ATCC 23656, CCM 2238, NCTC 10396, CCUG 1638, LMG 2793, CIP 78.61, JCM 1656, NCDC 1483-59, BCRC 10670, CDC 1483-59, CECT 849",1,"Edwardsiella tarda",1
3054,"1899 B","CCUG 17323 A, DSM 2243, ATCC 25559, VPI 0255, JCM 9979, CCUG 17323, CIP 106637, KCTC 3265, NCTC 11813, VTT E-001735",1,"Eggerthella lenta",1
3055,"MSMC 77-67","DSM 15644, ATCC 43055, CCUG 34779, CIP 104211, CCM 4714",0,"Eggerthella lenta",1
158962,"FAA 1-1-60A, FAA 1-1-60AUCSF","DSM 110904",0,"Eggerthella lenta",1
158963,11C,"DSM 110905",0,"Eggerthella lenta",1
158964,"FAA 1-3-56","DSM 110906",0,"Eggerthella lenta",1
158965,14A,"DSM 110907",0,"Eggerthella lenta",1
158966,22C,"DSM 110908",0,"Eggerthella lenta",1
158967,28B,"DSM 110909",0,"Eggerthella lenta",1
158968,"32-6-I-6 NA","DSM 110910",0,"Eggerthella lenta",1
158969,A2,"DSM 110911",0,"Eggerthella lenta",1
158970,"AB12 #2","DSM 110912",0,"Eggerthella lenta",1
158971,"AB8 #2","DSM 110913",0,"Eggerthella lenta",1
158972,AN51LG,"DSM 110914",0,"Eggerthella lenta",1
158973,"CC7/5 D5 2","DSM 110915",0,"Eggerthella lenta",1
158974,"CC8/2 BHI2","DSM 110916",0,"Eggerthella lenta",1
158975,"CC8/6 D5 4","DSM 110917",0,"Eggerthella lenta",1
158976,RJX1626,"DSM 110918",0,"Eggerthella lenta",1
158977,ElUC2,"DSM 110919",0,"Eggerthella lenta",1
158978,ElUC5,"DSM 110920",0,"Eggerthella lenta",1
158979,"MR1 #12","DSM 110921",0,"Eggerthella lenta",1
158980,RC4/6F,"DSM 110922",0,"Eggerthella lenta",1
158981,"W1 BHI 6","DSM 110923",0,"Eggerthella lenta",1
5506,"14 (serotype A)","DSM 2800, ATCC 13253, IAM 14198, IFO 12535, NBRC 12535, NCTC 10016, CCUG 214, CIP 60.57, LMG 12279, JCM 21065, AJ 2517, CCM 2719, CCTM La 3011, CDC 14, CECT 447, GIFU 506, LMG 4027, PCM 2225, RIMD 0614002",1,"Elizabethkingia meningoseptica",1
5507,W3-B1,"CCUG 58416, JCM 11413, DSM 14571, CIP 108250, GTC 862, KCTC 12492, BCRC 17371",1,"Elizabethkingia miricola",1
4373,,"DSM 30054, ATCC 13047, CIP 60.85, IFO 13535, NBRC 13535, NCTC 10005, WDCM 00083, NCDC 279-56, JCM 1232, ACM 1975, BCRC 10401, CCUG 28448, CCUG 29301, CCUG 6323, CDC 442-68, CECT 194, HAMBI 1295, HAMBI 96, HUT 8108, IAM 12349, KCTC 2361, LMG 2783, NCIMB 10101, VTT E-84198",1,"Enterobacter cloacae subsp. cloacae",1
4368,,"DSM 12409, ATCC 49162, CCUG 26642, CCUG 27126, CIP 103441",1,"Enterobacter hormaechei subsp. hormaechei",1
5278,"98 D","DSM 20633, ATCC 19432, CCM 5612, NCDO 596, NCTC 8307, JCM 8725, BCRC 10790, CCUG 7972, CECT 411, CGMCC 1.2284, CIP 55.125, LMG 10746, LMG 12691, NBRC 100479, NCAIM B.02010, NCIMB 700596, VTT E-97805",1,"Enterococcus durans",1
160028,Cla-CZ-122,"DSM 109133",0,"Enterococcus durans",1
158934,BSM-130-P53-22D,"DSM 100907",0,"Enterococcus faecium",1
5314,"F87/276, PB21","DSM 24841, ATCC 49573, JCM 8728, CCUG 18658, NCTC 12359, NCDO 2313, BCRC 15477, CCM 4054, CECT 970, CGMCC 1.2517, CGMCC 1.9125, CIP 103013, DSM 20628, LMG 13129, NBRC 100675, NCIMB 702313, NCTC 11428, VTT E-97776",1,"Enterococcus gallinarum",1
5310,"F87/268, PB21","DSM 20628, ATCC 35038, NCTC 11428",0,"Enterococcus gallinarum",1
5311,"F87/277, PB24 (oder PB22), PB24 (oder PB22?)","DSM 20717, NCDO 2314",0,"Enterococcus gallinarum",1
5312,"F87/279, PB24","DSM 20718, NCDO 2315",0,"Enterococcus gallinarum",1
5313,,"DSM 25780, NCCP 11518",0,"Enterococcus gallinarum",1
130944,JM-20,"DSM 28564",0,"Enterococcus gallinarum",1
130945,"30-31, A-C2-Ob","DSM 28565",0,"Enterococcus gallinarum",1
130946,JJM0609-2-2,"DSM 100110",0,"Enterococcus gallinarum",1
160037,Cla-CZ-15,"DSM 109011",0,"Enterococcus gallinarum",1
169222,"0090-6-DD-A, S500","DSM 106191",0,"Enterococcus gallinarum",1
