"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Cell shape"
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,"Acinetobacter defluvii",coccus-shaped
133175,JVAP01,"CECT 9134, LMG 29605",1,"Acinetobacter lactucae",coccus-shaped
139490,,"CIP 110500, ANC 4105, CCUG 67961, CCM 8636",1,"Acinetobacter dispersus",coccus-shaped
140912,114,"CCUG 65204, DSM 27228",1,"Acinetobacter equi",rod-shaped
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250",1,"Acinetobacter guillouiae",ovoid-shaped
8142,1271,"DSM 22705, CCM 7267, CCUG 51248, NIPH 2150, RUH 422",1,"Acinetobacter gyllenbergii",ovoid-shaped
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702",1,"Acinetobacter indicus",ovoid-shaped
24224,11-0202,"DSM 29071, JCM 18512, KCTC 32033, CCUG 69703, CIP 110699",1,"Acinetobacter kookii",ovoid-shaped
140631,,"CCUG 68785, NRRL B-41902",1,"Acinetobacter lactucae",rod-shaped
133403,BRTC-1,"ACCC 19936, JCM 31367",1,"Acinetobacter larvae",coccus-shaped
163942,GC2,"JCM 31073, DSM 26953",0,"Acinetobacter lwoffii",coccus-shaped
139492,,"CIP 110444, NIPH 236, CCUG 67964, CCM 8639",1,"Acinetobacter modestus",coccus-shaped
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,"Acinetobacter nectaris",ovoid-shaped
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,"Acinetobacter piscicola",coccus-shaped
,,,,,rod-shaped
133162,,"ANC 4149, CCM 8637, CCUG 67962, CNCTC 7530",1,"Acinetobacter pragensis",coccus-shaped
139427,,"CIP 110482, NIPH 809, CCUG 14818, CCUG 67965, CCM 8640",1,"Acinetobacter proteolyticus",coccus-shaped
164465,S23,"JCM 33150, KACC 19921",1,"Acinetobacter pullicarnis",coccus-shaped
132918,BQ4-1,"DSM 105039, CFCC 10780, JCM 18011, CCUG 69709",1,"Acinetobacter puyangensis",rod-shaped
159774,WCHAc060041,"CCTCC AB 2018118, GDMCC 1.1383, KCTC 62575",1,"Acinetobacter sichuanensis",coccus-shaped
8143,"B1, CR11, IBFC2009","DSM 22956, JCM 15062, KCTC 22184, CCUG 59023, KCTC 22814, CIP 110264, CCTCC AB 209162",1,"Acinetobacter soli",rod-shaped
8144,"RAG-1, Vaneechoutte ACI 403","KCTC 2702, BCRC 14357, DSM 23050, ATCC 31012, CCUG 45561, LMG 19082, LUH 3904, NIPH 1925",1,"Acinetobacter venetianus",ovoid-shaped
139493,,"CIP 110483, NIPH 2168, RUH 65, CCUG 67967, CCM 8642",1,"Acinetobacter vivianii",coccus-shaped
159758,WCHA60,"CCTCC AB 2016204, GDMCC 1.1100, KCTC 52505",1,"Acinetobacter wuhouensis",rod-shaped
134305,JC2129,"KCTC 12704, JCM 14002",1,"Actibacter sediminis",rod-shaped
24522,R46,"DSM 28448, CECT 7668, KCTC 23349",1,"Actibacterium mucosum",ovoid-shaped
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,"Actibacterium pelagium",rod-shaped
141055,LS-811,"BCRC 80823, JCM 30681",1,"Actibacterium ureilyticum",rod-shaped
23336,2614A723,"DSM 45727, CCTCC AA 2012001, JCM 31201",1,"Actinoallomurus acanthiterrae",ovoid-shaped
17007,TT00-28,"DSM 45447, KCTC 19537, NBRC 103682",1,"Actinoallomurus amamiensis",rod-shaped
132110,A3015,"DSM 45445, KCTC 19535, NBCR 103678, NBRC 103678",1,"Actinoallomurus caesius",rod-shaped
17008,TT04-09,"DSM 45450, KCTC 19542, NBRC 103688",1,"Actinoallomurus coprocola",rod-shaped
17010,TT02-47,"DSM 45448, KCTC 19539, NBRC 103685",1,"Actinoallomurus iriomotensis",rod-shaped
17011,TT02-15,"DSM 45452, KCTC 19538, NBRC 103683",1,"Actinoallomurus luridus",rod-shaped
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,"Actinoallomurus purpureus",rod-shaped
17013,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1,"Actinoallomurus yoronensis",rod-shaped
11691,F66,"DSM 26423, CCM 7846, CCUG 60324",1,"Actinobacillus anseriformium",ovoid-shaped
166219,W1618,"LMG 30745, NCTC 14090",1,"Actinobacillus vicugnae",rod-shaped
132079,"FC1, FC3","DSM 100580, CSUR P1982",1,"Actinobaculum massiliense",coccus-shaped
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,"Actinobaculum suis",rod-shaped
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,"Actinocatenispora thailandica",rod-shaped
16914,N3-7,"DSM 45040, JCM 13278, NRRL B-24429, BCRC 16845, CIP 109251, NBRC 106142, NCIMB 14302",1,"Actinocorallia cavernae",rod-shaped
132014,OB1,"DSM 45618, ATCC BAA 2771",1,"Actinocrinis puniceicyclus",filament-shaped
140670,R434,"KEMB 9005-403, KACC 18904, JCM 31557",1,"Actinokineospora acnipugnans",rod-shaped
13207,"ID 03-0561","DSM 45656, BTCC B554, NBRC 104211",1,"Actinokineospora baliensis",rod-shaped
24443,44EHW,"DSM 46700, BCC 53155, NBRC 108932",1,"Actinokineospora bangkokensis",rod-shaped
13209,"ID 03-0810","DSM 45657, BTCC B-558, NBRC 105526",1,"Actinokineospora cianjurensis",rod-shaped
13208,"ID 03-0784","DSM 45658, BTCC B555, NBRC 104212",1,"Actinokineospora cibodasensis",rod-shaped
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,"Actinomadura flavalba",rod-shaped
17001,"R-Ac121, 5DSM 45225","DSM 45225, KCTC 19488",1,"Actinomadura scrupuli",rod-shaped
177,M1327/95/1,"DSM 15435, CCUG 37421, CIP 106647",1,"Actinomyces bowdenii",rod-shaped
175,M1192/98/1,"DSM 15415, CCUG 41709, CIP 106507",1,"Actinomyces catuli",rod-shaped
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, KCTC 15232",1,"Actinomyces dentalis",filament-shaped
,,,,,rod-shaped
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,"Actinomyces gaoshouyii",rod-shaped
186,,"DSM 15540, CCUG 27294, CIP 105737, CCM 4739",1,"Actinomyces graevenitzii",rod-shaped
166249,2129,"CGMCC 4.7483, DSM 106426",1,"Actinomyces lilanjuaniae",rod-shaped
192,4401292,"DSM 23047, CCUG 53522, KCTC 15158, CSUR P18, JCM 16130",1,"Actinomyces massiliensis",rod-shaped
187,R5292,"KCTC 15234, DSM 17234, CCUG 46090, CIP 107639, Hall R5292, JCM 17565",1,"Actinomyces oricola",rod-shaped
193,7400942,"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35",1,"Actinomyces timonensis",rod-shaped
178,,"DSM 15434, CCUG 38702, CIP 106421",1,"Actinomyces urogenitalis",rod-shaped
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,"Actinomyces vulturis",rod-shaped
196,"2298, 2298/06","DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472",1,"Actinomyces weissii",rod-shaped
130440,"A-T 6646","DSM 46706, BCC 46194, NBRC 109076",1,"Actinoplanes siamensis",ovoid-shaped
11159,,"DSM 18448, CCTCC AA 206004, JCM 16537, YIM 45725",1,"Actinopolymorpha rutila",rod-shaped
24729,,"DSM 46731, CCTCC AA 2012020, KCTC 19657, TRM 40139, JCM 31477",1,"Actinopolyspora lacussalsi",filament-shaped
,,,,,rod-shaped
24730,H55,"DSM 45460, CCUG 62965",1,"Actinopolyspora mzabensis",rod-shaped
141087,HS05-03,"BCC 51286, NBRC 109078, DSM 108651",1,"Actinopolyspora salinaria",filament-shaped
132380,,"DSM 45410, CCTCC AA 209065, YIM 75728",1,"Actinorectispora indica",rod-shaped
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,"Actinospica acidiphila",rod-shaped
17635,GE134769,"DSM 44927, JCM 14908, NRRL B-24432, BCRC 16839, NBRC 102112",1,"Actinospica robiniae",rod-shaped
13211,101,"DSM 43827, ATCC 29888, IAM 14280, IFO 14064, IMET 9740, IMRU 3971, JCM 3225, KCC A-0225, NBRC 14064, BCRC 13449, IMSNU 20048, KCTC 9125, KCTC 9184, NCIMB 13271, NRRL B-12336, VKM Ac-843",1,"Actinosynnema mirum",filament-shaped
133106,EBR-4-2,"KCTC 33604, JCM 30447",1,"Actinotalea caeni",rod-shaped
133962,CF5-4,"KCTC 29134, CCTCC AB 2012198, DSM 112671, JCM 31479",1,"Actinotalea ferrariae",rod-shaped
158625,THG-T121,"KACC 19191, CGMCC 4.7389, JCM 32747",1,"Actinotalea solisilvae",rod-shaped
145,"B 5329","DSM 15541, CCUG 27420, CIP 105739, LMG 18293, CCM 4738",1,"Actinotignum schaalii",rod-shaped
146,R9242,"KCTC 15231, DSM 15805, CCUG 46093, CIP 107424",1,"Actinotignum urinale",curved-shaped
,,,,,rod-shaped
131515,KB18,"DSM 26090, KCTC 15540",1,"Acutalibacter muris",rod-shaped
159835,J103,"DSM 104434, MCCC 1K03288",1,"Acuticoccus kandeliae",ovoid-shaped
166457,PTG4-2,"MCCC 1A01274, KCTC 52323",1,"Acuticoccus sediminis",oval-shaped
133587,6515J-31,"KACC 14117, NBRC 106133",1,"Adhaeribacter aerolatus",rod-shaped
133589,6424S-25,"KACC 14118, NBRC 106134",1,"Adhaeribacter aerophilus",rod-shaped
3764,MBRG1.5,"DSM 16391, NCIMB 14008",1,"Adhaeribacter aquaticus",rod-shaped
158784,17mud1-7,"KCTC 52873, NBRC 112824",1,"Adhaeribacter swui",rod-shaped
140958,HY02,"KCTC 52512, JCM 31652",1,"Adhaeribacter terrae",rod-shaped
133455,DNG6,"CGMCC 1.6961, NBRC 104235",1,"Adhaeribacter terreus",rod-shaped
22982,NR06,"DSM 22242, CCUG 57646, KCTC 15365",1,"Adlercreutzia caecicola",rod-shaped
3077,B7,"DSM 21839, CCUG 56815",1,"Adlercreutzia caecimuris",rod-shaped
3072,do03,"DSM 18785, JCM 14811, AHU 1763, KCTC 15587",1,"Adlercreutzia equolifaciens subsp. celata",rod-shaped
3073,FJC-B9,"DSM 19450, CCUG 54925, JCM 14793, KCTC 15235",1,"Adlercreutzia equolifaciens subsp. equolifaciens",ovoid-shaped
3076,Mt1B8,"DSM 19490, CCUG 54980",1,"Adlercreutzia mucosicola",rod-shaped
131531,WCA-131-CoC-2,"DSM 29508, KCTC 15543",1,"Adlercreutzia muris",rod-shaped
140913,,"ACCC 06485, JCM 30465, LAM 0050",1,"Advenella alkanexedens",coccus-shaped
132905,M-07,"DSM 104993, JCM 17746, KCTC 23732",1,"Advenella faeciporci",coccus-shaped
385,,"DSM 23814, CCUG 45225, LMG 22250, CIP 108657",1,"Advenella incenata",rod-shaped
383,WT001,"DSM 17095, LMG 22965, MTCC 7002",1,"Advenella kashmirensis",coccus-shaped
384,DPN7,"DSM 17166, LMG 22922",1,"Advenella mimigardefordensis",ovoid-shaped
160122,Pan181,"DSM 29370, LMG 31346, CECT 9840, VKM B-3426",1,"Aeoliella mucimassa",other
166411,,"KACC 15529, NBRC 108213, IMCC 3088",1,"Aequoribacter fuscus",rod-shaped
133599,JC2436,"IMSNU 14137, KACC 13727, KCTC 22361, JCM 15496",1,"Aequorivita aestuarii",rod-shaped
140229,D-24,"DSM 101732, KCTC 42708",1,"Aequorivita aquimaris",rod-shaped
5479,A71,"DSM 23843, JCM 15070, KCTC 22183",1,"Aequorivita capsosiphonis",rod-shaped
5477,9-3,"DSM 14238, ACAM 643, CIP 107454",1,"Aequorivita sublithincola",filament-shaped
24014,8-1b,"DSM 26349, CGMCC 1.11023, JCM 18497",1,"Aequorivita viscosa",rod-shaped
158560,N.8,"KCTC 33824, JCM 31580",1,"Aeribacillus composti",rod-shaped
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,"Aeriscardovia aeriphila",rod-shaped
226,UW06,"DSM 15819, CCM 4911, CCUG 28831, CIP 106115, JCM 18985, ATCC 48849, LMG 19525",1,"Aerococcus christensenii",coccus-shaped
224,SS-1647,"DSM 15633, CCUG 43001, CDC 348-00, CIP 106533, JCM 11549, ATCC BAA 465",1,"Aerococcus sanguinicola",coccus-shaped
227,1821/02,"DSM 21500, CCUG 52530, CECT 7139, JCM 18035, CIP 109714",1,"Aerococcus suis",coccus-shaped
222,PUE,"CCUG 28094, CIP 103442, NCIMB 701636, DSM 20341, ATCC 29723, JCM 12519, NCDO 1636, LMG 11420, LMG 13989",1,"Aerococcus urinaeequi",sphere-shaped
225,,"CCUG 42038 B, CCM 7338, DSM 15634, ATCC BAA 464, CCUG 42038b, CIP 106675, JCM 18987",1,"Aerococcus urinaehominis",coccus-shaped
11058,KSL-107,"DSM 16824, CIP 108938, JCM 13518, KCTC 19073, BCRC 16830",1,"Aeromicrobium alkaliterrae",coccus-shaped
133328,9H-4,"ZIM B1021, LMG 29165, CCM 8650, JCM 32379",1,"Aeromicrobium choanae",coccus-shaped
11064,TYLN1,"DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625",1,"Aeromicrobium flavum",rod-shaped
11062,,"DSM 22238, JCM 14732, KCTC 19207, GBS 39, Gsoil 098",1,"Aeromicrobium ginsengisoli",coccus-shaped
11066,,"DSM 24822, JCM 15749, KCCM 90079, KME 001",1,"Aeromicrobium halocynthiae",rod-shaped
159668,,"DSM 105424, NBRC 112936, CPCC 204604",1,"Aeromicrobium lacus",rod-shaped
11061,,"DSM 17939, CCUG 52476, KCTC 19131, Gsoil 161, JCM 16926, JCM 15303",1,"Aeromicrobium panaciterrae",rod-shaped
11065,HSW-1,"DSM 19178, KACC 20565, JCM 16375",1,"Aeromicrobium ponti",rod-shaped
11063,,"DSM 19087, JCM 13811, NRRL B-24466, CIP 109549",1,"Aeromicrobium tamlense",rod-shaped
23547,266,"DSM 27583, CECT 8023, LMG 26707",1,"Aeromonas australiensis",rod-shaped
280,868E,"DSM 19111, CECT 7113, LMG 23376",1,"Aeromonas bivalvium",coccus-shaped
,,,,,rod-shaped
272,A55,"DSM 18362, CECT 7289, LMG 24688, MDC 47",0,"Aeromonas dhakensis",rod-shaped
258,S181,"DSM 11577, CECT 4342, LMG 16330",1,"Aeromonas encheleia",rod-shaped
283,717,"DSM 23621, CECT 7401, LMG 24681",1,"Aeromonas fluvialis",rod-shaped
242,,"CCUG 14453, CCM 3653, JCM 2385, LMG 9073, DSM 4881, ATCC 33907, BCRC 12211, BCRC 14129, CECT 4232, CIP 103208, LMG 7907, NCIMB 2237",1,"Aeromonas media",rod-shaped
262,848T,"DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,"Aeromonas molluscorum",rod-shaped
279,,"CCUG 39350, ATCC BAA 243, NCIMB 13618, DSM 19604, CCM 4708, CECT 5176, CIP 105493, LMG 17541",1,"Aeromonas popoffii",rod-shaped
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511",1,"Aeromonas rivuli",rod-shaped
273,138,"DSM 21293, ATCC 49393, CCM 4103, CECT 5179, CIP 104757",1,"Aeromonas salmonicida subsp. smithia",rod-shaped
286,A2-67,"DSM 24094, CECT 7402, LMG 24682",1,"Aeromonas sanarellii",rod-shaped
261,,"DSM 16559, CCUG 47378, CIP 107798, IBS S6874",1,"Aeromonas simiae",rod-shaped
285,A2-50,"DSM 24096, CECT 7403, LMG 24683",1,"Aeromonas taiwanensis",rod-shaped
4196,SY1,"DSM 16960, ATCC BAA 758, JCM 12091",1,"Aeropyrum camini",coccus-shaped
4195,K1,"DSM 11879, JCM 9820, ATCC 700893, NBRC 100138",1,"Aeropyrum pernix",coccus-shaped
159185,Dysh456,"DSM 105662, NBRC 112897",1,"Aerosticca soli",rod-shaped
437,JC2043,"DSM 15266, KCTC 12043, IMSNU 14007",1,"Aestuariibacter halophilus",rod-shaped
438,JC2042,"DSM 15300, KCTC 12042, IMSNU 14006",1,"Aestuariibacter salexigens",rod-shaped
133791,,"KACC 16186, JCM 17789, SC 17",1,"Aestuariibaculum suncheonense",rod-shaped
158658,DBTF-13,"KACC 19432, NBRC 113038",1,"Aestuariibius insulae",ovoid-shaped
,,,,,rod-shaped
158589,NAP41,"KACC 18431, JCM 30739",1,"Aestuariicoccus marinus",coccus-shaped
12671,R27,"DSM 21549, JCM 14204, KCTC 19182, CIP 109737",1,"Aestuariimicrobium kwangyangense",coccus-shaped
158420,D6,"DSM 105824, KCTC 39995",1,"Aestuariimicrobium soli",rod-shaped
158355,OITF-44,"DSM 105891, KACC 19569, KCTC 62197, NBRC 113118",1,"Aestuariimonas insulae",rod-shaped
160775,,"DSM 105254, KCTC 52945, NBRC 112960, SYSU M10001",1,"Aestuariivirga litoralis",rod-shaped
131429,SBSr002,"DSM 24601, NCCB 100377",1,"Aetherobacter fasciculatus",rod-shaped
130794,SBSr003,"DSM 24628, NCCB 100378",1,"Aetherobacter rufus",rod-shaped
13876,AR2102,"DSM 17143, ATCC BAA 1145",1,"Afifella pfennigii",rod-shaped
1782,34632,"DSM 17499, CCUG 43108, CIP 106344",1,"Afipia birgiae",rod-shaped
1781,34633,"DSM 17498, CCUG 45153, CIP 107022",1,"Afipia massiliensis",rod-shaped
159752,2p52,"KCTC 52473, MCCC 1H00151",1,"Agaribacter flavus",rod-shaped
141009,feces2,"MCCC 1A11450, KCTC 52708",1,"Agaribacterium haliotis",rod-shaped
133571,"CC-SBABM117, SBABM117","BCRC 17964, CCM 7684, DSM 22517",1,"Agaricicola taiwanensis",rod-shaped
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,"Agarilytica rhodophyticola",rod-shaped
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,"Agarivorans aestuarii",rod-shaped
133657,,"IAM 14998, LMG 21761, MKT 106, JCM 21469, NBRC 102603",1,"Agarivorans albus",rod-shaped
22908,WH0801,"DSM 26780, CGMCC 1.10131, NRRL B-59247",1,"Agarivorans gilvus",rod-shaped
132395,"JK 623","DSM 29029, LMG 28559",1,"Agathobacter ruminis",rod-shaped
132618,SR79,"DSM 100391, KCTC 15532, JCM 30795",1,"Agathobaculum butyriciproducens",rod-shaped
11755,HK316,"DSM 21418, ATCC 33393, CCUG 10787, CCUG 12838, CIP 103292, KCTC 5968, NCTC 10977",1,"Aggregatibacter segnis",pleomorphic-shaped
,,,,,rod-shaped
164183,MO-CFX2,"JCM 32065, KCTC 15625",1,"Aggregatilinea lenta",filament-shaped
6668,,"DSM 18527, JCM 14202, NRIC 0689",1,"Agrilactobacillus composti",rod-shaped
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,"Agrilactobacillus yilanensis",rod-shaped
140485,,"LMG 29287, HAMBI 3646, YIC 5082",1,"Agrobacterium salinitolerans",rod-shaped
13647,Ch11,"DSM 26438, CFBP 7420, HAMBI 3460, LMG 26191",1,"Agrobacterium skierniewicense",rod-shaped
7256,"R-17892t 2","DSM 18061, CIP 109629, LMG 22410, JCM 14916",1,"Agrococcus casei",rod-shaped
7258,SSW1-48,"DSM 22002, JCM 14256, KCTC 19198",1,"Agrococcus jejuensis",rod-shaped
7255,K22-21,"DSM 17612, MTCC 7154, JCM 14301, CGMCC 1.7259, CGMCC 1.8869, NCIMB 14388",1,"Agrococcus lahaulensis",rod-shaped
24181,DNG5,"DSM 28114, CGMCC 1.6960, JCM 17488, NBRC 104260",1,"Agrococcus terreus",rod-shaped
7257,"K 114/01","DSM 19812, LMG 24386, CCUG 58092, JCM 16026",1,"Agrococcus versicolor",ovoid-shaped
7279,UMS-62,"DSM 21551, JCM 13584, KCTC 19181, CIP 109546",1,"Agromyces allii",rod-shaped
7281,P27,"DSM 23870, JCM 15913, KCTC 19593",1,"Agromyces atrinae",rod-shaped
132611,AR33,"DSM 101731, LMG 29235, JCM 32431",1,"Agromyces aureus",rod-shaped
7282,BZ41,"DSM 22275, CGMCC 1.8984, JCM 17735",1,"Agromyces bauzanensis",rod-shaped
