"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Ability of spore formation"
132532,3H-GS17,"DSM 100595, CGMCC 4.7282, JCM 31763",1,"Actinocorallia lasiicapitis",1
16913,I-497,"DSM 44361, CIP 105488, IFO 15961, JCM 9377, NBRC 15961, IMSNU 22180, NCIMB 14385",1,"Actinocorallia longicatena",0
159707,A251,"CGMCC 4.7421, JCM 32178",1,"Actinocorallia populi",1
132014,OB1,"DSM 45618, ATCC BAA 2771",1,"Actinocrinis puniceicyclus",1
132668,MI503-A4,"DSM 45934, NBRC 109632",1,"Actinocrispum wychmicini",0
,,,,,1
140670,R434,"KEMB 9005-403, KACC 18904, JCM 31557",1,"Actinokineospora acnipugnans",1
13511,03-9939,"DSM 45114, CCM 7461, KCTC 19294, JCM 17965, NBRC 106985",1,"Actinokineospora alba",1
13207,"ID 03-0561","DSM 45656, BTCC B554, NBRC 104211",1,"Actinokineospora baliensis",1
24443,44EHW,"DSM 46700, BCC 53155, NBRC 108932",1,"Actinokineospora bangkokensis",1
13209,"ID 03-0810","DSM 45657, BTCC B-558, NBRC 105526",1,"Actinokineospora cianjurensis",1
13208,"ID 03-0784","DSM 45658, BTCC B555, NBRC 104212",1,"Actinokineospora cibodasensis",1
13200,,"DSM 44256, IFO 15664, JCM 9922, KCTC 9570, MTCC 2686, NBRC 15664, NCIMB 13658, NRRL B-24048, VKM Ac-1981",1,"Actinokineospora globicatena",0
13203,,"DSM 44259, ATCC 49499, CCRC 13450, IFO 14541, JCM 7471, MTCC 2712, NBRC 14541, NCIMB 13255, NRRL B-16432, BCRC 13450, IMSNU 21272, KACC 20059, KCCM 40232, KCTC 9291, VKM Ac-1980",1,"Actinokineospora riparia",1
13210,,"DSM 45613, JCM 17695, YIM 75948, NBRC 111522",1,"Actinokineospora soli",1
16995,,"DSM 45045, CCTCC AA 206005, CIP 109812, JCM 14906, NBRC 103884, YIM 45681",1,"Actinomadura alba",1
16996,3-46-b(3),"DSM 45347, JCM 13933, MTCC 8057",1,"Actinomadura bangladeshensis",1
158373,,"DSM 108647, NBRC 113074, TBRC 7225, GKU 128",1,"Actinomadura barringtoniae",1
16997,3-45-a(11),"DSM 45346, JCM 13932, MTCC 8056",1,"Actinomadura chokoriensis",1
16925,,"DSM 43461, ATCC 27887, IMET 9573, INA 1849, JCM 3295, BCRC 13352, CGMCC 4.1514, IFO 14678, IMSNU 20001, KCTC 9617, MTCC 1828, NBRC 14678, NRRL B-16121, VKM Ac-1119",1,"Actinomadura citrea",1
158480,LHW63021,"DSM 106125, CCTCC AA 2018015",1,"Actinomadura craniellae",1
16980,,"DSM 44224, ATCC 49459, NRRL 18348, JCM 9371, IMSNU 22177",1,"Actinomadura fibrosa",1
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,"Actinomadura flavalba",1
17005,A8036,"DSM 45508, KCTC 19868, JCM 19952",1,"Actinomadura geliboluensis",1
16979,"SA 26015","DSM 44148, ATCC 53557, IFO 15177, NBRC 15177, NCIMB 13253, JCM 9627, HUT 6599, IMSNU 22185",1,"Actinomadura hibisca",1
16998,WCC-2265,"DSM 45195, BCC 72026, CCUG 56181, NBRC 105837, JCM 17316, TBRC 4745",1,"Actinomadura keratinilytica",1
159574,NEAU-G17,"DSM 105122, CGMCC 4.7411",1,"Actinomadura logoneensis",1
16931,,"DSM 40398, ATCC 25469, CBS 702.69, CGMCC AS 4.1382, IFO 13057, ISP 5398, JCM 4203, KCC S-0203, KCC S-0491, NBRC 13057, RIA 1249, OEU 719, BCRC 16250, CECT 3283, CGMCC 4.1382, CGMCC 4.1516, CIP 105484, IMET 9672, IMSNU 20009, JCM 4491, KCTC 9341, NRRL B-12327, VKM Ac-1509",1,"Actinomadura luteofluorescens",1
17002,"DLS-45, 5DSM 45252","DSM 45252, KCTC 19558, JCM 17440",1,"Actinomadura meridiana",1
133428,BC44T-5,"FIRDI 002, BCRC 16873, LMG 24335, JCM 16702, NCIMB 14658",1,"Actinomadura miaoliensis",1
140490,CYP1-1B,"JCM 16995, KCTC 39784, PCU 349, TISTR 2400",1,"Actinomadura montaniterrae",1
16986,"FH-A 1198, ID 90-506","DSM 44197, CIP 108365, NRRL B-24153, HAG 010767, JCM 13238, CPCC 201670",1,"Actinomadura namibiensis",1
16990,B60,"DSM 44846, JCM 13850, NRRL B-24319, NBRC 104150",1,"Actinomadura napierensis",1
164563,LD22,"JCM 33455, CCTCC AA 2018050",1,"Actinomadura physcomitrii",1
158374,SDA37,"DSM 108648, KCTC 39965, NBRC 112909, TISTR 2523",1,"Actinomadura rhizosphaerae",1
166237,,"LMG 30035, CECT 9808, ATCC 53664",1,"Actinomadura roseirufa",1
16991,"HMC 1","DSM 44962, JCM 14907, NRRL B-24458",1,"Actinomadura rudentiformis",0
17003,CS5-AC15,"DSM 45251, KCTC 19559",1,"Actinomadura rupiterrae",1
17001,"R-Ac121, 5DSM 45225","DSM 45225, KCTC 19488",1,"Actinomadura scrupuli",0
133727,,"CCTCC AA 2010009, DSM 45500, YIM M 10931, JCM 31202",1,"Actinomadura sediminis",1
16963,"A-184, A4","DSM 43358, ATCC 27299, DSM 43550, KCC A-0147, JCM 3147, BCRC 13408, CBS 258.72, CCM 3492, CGMCC 4.1512, CGMCC 4.2116, CIP 105480, IFO 14100, IMET 9588, IMSNU 20017, MTCC 1397, NBRC 14100, NCIMB 11119, NRRL B-16129, RIA 1503, VKM Ac-668",1,"Actinomadura verrucosospora",1
16968,,"DSM 44433, IFO 14480, IMET 9742, INMI 187, JCM 3398, JCM 7346, ATCC 33925, BCRC 13638, KCTC 9185, NBRC 100039, NBRC 14480",1,"Actinomadura viridilutea",1
16970,2991,"DSM 43750, ATCC 49883, IFO 15178, IMET 9705, JCM 7345, NBRC 15178, BCRC 16817, CIP 105486, IFO 15275, IMSNU 22192, INMI 2991, KCTC 9493, NBRC 15275, VKM Ac-1470",0,"Actinomadura viridilutea",0
,,,,,1
16945,Mt-1,"DSM 43175, ATCC 27103, CBS 833.70, IMET 9546, JCM 3112, KCC A-0112, BCRC 13398, CIP 105478, IFO 15238, IMSNU 20019, KCTC 9290, NBRC 15238, VKM Ac-1315",1,"Actinomadura viridis",1
24654,BK147,"DSM 46742, KACC 20919, NCIMB 14771, NRRL B-24852, JCM 32746, NBRC 109779",1,"Actinomadura xylanilytica",0
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, KCTC 15232",1,"Actinomyces dentalis",0
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,"Actinomyces gaoshouyii",0
159,2-606-032,"DSM 6844, ATCC 23860, CDC W838, CIP 105418, JCM 12963, VPI 12594, CCUG 32936, CCUG 34703",1,"Actinomyces gerencseriae",0
186,,"DSM 15540, CCUG 27294, CIP 105737, CCM 4739",1,"Actinomyces graevenitzii",0
166249,2129,"CGMCC 4.7483, DSM 106426",1,"Actinomyces lilanjuaniae",0
192,4401292,"DSM 23047, CCUG 53522, KCTC 15158, CSUR P18, JCM 16130",1,"Actinomyces massiliensis",0
187,R5292,"KCTC 15234, DSM 17234, CCUG 46090, CIP 107639, Hall R5292, JCM 17565",1,"Actinomyces oricola",0
193,7400942,"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35",1,"Actinomyces timonensis",0
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,"Actinomyces vulturis",0
196,"2298, 2298/06","DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472",1,"Actinomyces weissii",0
,,,,,1
13499,,"DSM 45062, JCM 15998, NBRC 104400, YIM 0006, CCTCC AA 205017, TBRC 8064",1,"Actinomycetospora chiangmaiensis",1
159747,"A-T 8314","TBRC 5722, NBRC 113235",1,"Actinomycetospora endophytica",1
24458,MN08-A0203,"DSM 46707, NBRC 105883, VTCC D9-23",1,"Actinophytocola burenkhanensis",1
159716,,"KCTC 49002, CGMCC 4.7433, BMP B8152, JCM 33402",1,"Actinophytocola glycyrrhizae",1
13512,,"DSM 45499, BCC 31372, NBRC 105245, JCM 17236, TBRC 158",1,"Actinophytocola oryzae",1
133108,11-183,"KCTC 39690, MCCC 1K02062, DSM 109075",1,"Actinophytocola xanthii",1
23114,Y16,"DSM 45850, CGMCC 4.6857, JCM 17700",1,"Actinoplanes atraurantiacus",1
7798,"UNCC 253","DSM 43031, ATCC 15330, CBS 189.64, IFO 12245, KCC A-0038, NBRC 12245, JCM 3038, BCRC 13631, HAMBI 1975, IFM 1138, IFM 1290, IMET 9034, IMSNU 20021, KCTC 9117, NCIMB 10172, NRRL B-3343, RIA 819, VKM Ac-648, VKM Ac-675",1,"Actinoplanes auranticolor",1
7799,"A/672, MB-T 20","DSM 43805, ATCC 25844, KCC A-0196, JCM 3196, BCRC 13340, IFM 1261, IFO 13938, IMSNU 20022, KCTC 9345, NBRC 13938, NCIMB 12642, NRRL B-16714, VKM Ac-1320",1,"Actinoplanes brasiliensis",1
7801,"UNCC 65","DSM 43148, ATCC 15348, CBS 190.64, IFO 12511, KCC A-0059, NBRC 12511, JCM 3059, BCRC 12545, CECT 3287, IFM 0124, IFM 1239, IMET 9244, KCTC 9589, MTCC 1981, NCIMB 12889, NRRL B-3344, VKM Ac-1319",1,"Actinoplanes campanulatus",1
7830,LA97,"DSM 43942, ATCC 49799, IFO 14913, NBRC 14913, NCIMB 20027, JCM 7624, BCRC 16343, KCTC 9253, KCTC 9657, NRRL B-16688",1,"Actinoplanes consettensis",1
7841,GW8-1761,"CCUG 53409, DSM 45050, CIP 109316, JCM 15999, NBRC 106145",1,"Actinoplanes couchii",1
7802,"A/10655, MB-T 21","DSM 43806, ATCC 21983, JCM 3247, KCC A-0247, BCRC 12107, CBS 597.74, CGMCC 4.2098, IFO 13994, IMET 9256, IMSNU 20026, KCTC 9532, MTCC 711, NBRC 13994, NCIMB 12643, NRRL B-16715",1,"Actinoplanes deccanensis",1
7831,"LA 107","DSM 43941, ATCC 49798, IFO 14935, NBRC 14935, NCIMB 12875, JCM 7556, IMSNU 20027, IMSNU 22122, KCTC 9254, NRRL B-16692",1,"Actinoplanes derwentensis",1
7832,"LA 139","DSM 43939, ATCC 49800, IFO 14914, NBRC 14914, NCIMB 20041, JCM 7625, IMSNU 22124, KCTC 9346, NRRL B-16689",1,"Actinoplanes durhamensis",1
7804,"MB-T 22, X-14695","DSM 43807, ATCC 29868, KCC A-0277, JCM 3277, BCC 49183, BCRC 13630, IFO 15555, IMET 9273, IMSNU 22125, KCTC 9255, MTCC 1418, NBRC 15555, NCIMB 12644, NRRL B-16718, TBRC 192",1,"Actinoplanes ferrugineus",1
7833,"LA 6","DSM 43938, ATCC 49801, IFO 14915, NBRC 14915, NCIMB 20000, JCM 7555, BCRC 16344, IMSNU 20031, KCTC 9656, NRRL B-16690",1,"Actinoplanes humidus",1
7807,A-5221,"DSM 43146, ATCC 27366, KCC A-0165, JCM 3165, BCRC 12530, CCM 2739, CECT 3285, CGMCC 4.1065, IFM 1254, IFO 13911, IMET 9251, IMSNU 22126, KCTC 9534, MTCC 1412, NBIMCC 1475, NBRC 13911, NCIMB 12641, NRRL B-16722",1,"Actinoplanes italicus",0
,,,,,1
7839,"A/6353, FH 2244","DSM 43865, ATCC 31048, BCRC 12121, CBS 355.75, IFO 13997, IMSNU 22127, JCM 3250, KCC A-0250, KCTC 9536, NBRC 13997, NCIMB 12636, NRRL B-16723, SANK 62178, CGMCC 4.5521",1,"Actinoplanes liguriensis",1
7808,"UNCC 72","DSM 43150, ATCC 15350, CBS 192.64, IFO 12513, KCC A-0061, NBRC 12513, JCM 3061, IFM 0126, IFM 1240, IMET 9246, IMSNU 22063, KCTC 9348, NCIMB 12888, NRRL B-3346, VKM Ac-676",1,"Actinoplanes lobatus",1
7809,"UNCC 431","DSM 43046, ATCC 14538, CBS 188.64, IFO 13243, KCC A-0121, NBRC 13243, JCM 3121, BCRC 13335, CGMCC 4.1488, IFM 1250, IMET 9249, IMSNU 22051, KCTC 1780, NBIMCC 2232, NBRC 102363, NCIMB 12654, NRRL B-3342, VTT E-82151",1,"Actinoplanes missouriensis",1
7834,"LA 83","DSM 43940, ATCC 49797, BCC 55025, IFO 14916, NBRC 14916, NCIMB 20021, TBRC 2208, JCM 7626, BCRC 16347, IMSNU 20038, KCTC 9257, NRRL B-16691",1,"Actinoplanes palleronii",1
140744,,"NRRL B-65484, DSM 105064, ATCC 33076",1,"Actinoplanes ramoplaninifer",1
7811,"LL 7-10 (IMRU 3919), MB-T 24","DSM 43808, ATCC 29234, BCC 60402, IFO 13941, IMRU 3919, KCC A-0194, NBRC 13941, TBRC 2207, JCM 3194, BCRC 13338, IFM 1260, IMET 9276, IMSNU 20041, KCTC 9540, NCIMB 12746, NRRL B-16090",1,"Actinoplanes rectilineatus",1
7812,"UNCC 79","DSM 43151, CBS 193.64, IAM 14279, IFO 12514, IMET 9268, JCM 3062, KCC A-0062, NBRC 12514, RIA 821, BCC 49176, HAMBI 1928, IFM 1241, KCTC 9119, NCIMB 12730, NRRL B-3347, TBRC 168, VKM Ac-650",1,"Actinoplanes regularis",1
158014,M4147,"DSM 100965",1,"Actinoplanes sediminis",1
130440,"A-T 6646","DSM 46706, BCC 46194, NBRC 109076",1,"Actinoplanes siamensis",1
7842,03-723,"DSM 45183, CCM 7526, KCTC 19460, JCM 16605",1,"Actinoplanes sichuanensis",1
164277,,"JCM 32512, CGMCC 4.7580, LAM 7112",1,"Actinoplanes solisilvae",1
133187,"A-T 5400","BCC 42734, TBRC 5832, NBRC 109645, DSM 108650",1,"Actinoplanes subglobosus",1
7818,"AB 8327, FH 2149","DSM 43866, ATCC 31121, BCRC 12106, FERM P-3462, IFO 13999, IMET 9254, IMSNU 20043, JCM 3252, KCC A-0252, KCTC 9543, NBRC 13999, NCIMB 12640, NRRL B-16726, SANK 60479, BCC 49180, NBIMCC 2300, TBRC 172",1,"Actinoplanes teichomyceticus",1
7844,MN07-A0371,"DSM 45572, NBRC 105297, VTCC D9-10",1,"Actinoplanes tereljensis",1
7845,MN07-A0368,"DSM 45573, NBRC 105298, VTCC D9-11",1,"Actinoplanes toevensis",1
7843,03-8772,"DSM 45184, CCM 7527, KCTC 19461, JCM 16606, NBRC 106528",1,"Actinoplanes xinjiangensis",1
11159,,"DSM 18448, CCTCC AA 206004, JCM 16537, YIM 45725",1,"Actinopolymorpha rutila",0
,,,,,1
17721,,"DSM 43834, ATCC 27976, IFO 14106, JCM 3278, KCC A-0278, NBRC 14106, NCIB 11472, BCRC 13403, CGMCC 4.1219, IMSNU 20045, IMSNU 21360, KCTC 9127, MTCC 263, NCIMB 11472, VKM Ac-871",1,"Actinopolyspora halophila",1
24729,,"DSM 46731, CCTCC AA 2012020, KCTC 19657, TRM 40139, JCM 31477",1,"Actinopolyspora lacussalsi",1
24730,H55,"DSM 45460, CCUG 62965",1,"Actinopolyspora mzabensis",1
132380,,"DSM 45410, CCTCC AA 209065, YIM 75728",1,"Actinorectispora indica",1
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,"Actinospica acidiphila",1
17635,GE134769,"DSM 44927, JCM 14908, NRRL B-24432, BCRC 16839, NBRC 102112",1,"Actinospica robiniae",1
13211,101,"DSM 43827, ATCC 29888, IAM 14280, IFO 14064, IMET 9740, IMRU 3971, JCM 3225, KCC A-0225, NBRC 14064, BCRC 13449, IMSNU 20048, KCTC 9125, KCTC 9184, NCIMB 13271, NRRL B-12336, VKM Ac-843",1,"Actinosynnema mirum",1
133106,EBR-4-2,"KCTC 33604, JCM 30447",1,"Actinotalea caeni",0
,,,,,1
146,R9242,"KCTC 15231, DSM 15805, CCUG 46093, CIP 107424",1,"Actinotignum urinale",0
159835,J103,"DSM 104434, MCCC 1K03288",1,"Acuticoccus kandeliae",0
133587,6515J-31,"KACC 14117, NBRC 106133",1,"Adhaeribacter aerolatus",0
133589,6424S-25,"KACC 14118, NBRC 106134",1,"Adhaeribacter aerophilus",0
22982,NR06,"DSM 22242, CCUG 57646, KCTC 15365",1,"Adlercreutzia caecicola",0
3077,B7,"DSM 21839, CCUG 56815",1,"Adlercreutzia caecimuris",0
3072,do03,"DSM 18785, JCM 14811, AHU 1763, KCTC 15587",1,"Adlercreutzia equolifaciens subsp. celata",0
3073,FJC-B9,"DSM 19450, CCUG 54925, JCM 14793, KCTC 15235",1,"Adlercreutzia equolifaciens subsp. equolifaciens",0
3076,Mt1B8,"DSM 19490, CCUG 54980",1,"Adlercreutzia mucosicola",0
140913,,"ACCC 06485, JCM 30465, LAM 0050",1,"Advenella alkanexedens",0
384,DPN7,"DSM 17166, LMG 22922",1,"Advenella mimigardefordensis",0
166411,,"KACC 15529, NBRC 108213, IMCC 3088",1,"Aequoribacter fuscus",0
133599,JC2436,"IMSNU 14137, KACC 13727, KCTC 22361, JCM 15496",1,"Aequorivita aestuarii",0
24014,8-1b,"DSM 26349, CGMCC 1.11023, JCM 18497",1,"Aequorivita viscosa",0
158560,N.8,"KCTC 33824, JCM 31580",1,"Aeribacillus composti",1
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,"Aeriscardovia aeriphila",0
226,UW06,"DSM 15819, CCM 4911, CCUG 28831, CIP 106115, JCM 18985, ATCC 48849, LMG 19525",1,"Aerococcus christensenii",0
224,SS-1647,"DSM 15633, CCUG 43001, CDC 348-00, CIP 106533, JCM 11549, ATCC BAA 465",1,"Aerococcus sanguinicola",0
222,PUE,"CCUG 28094, CIP 103442, NCIMB 701636, DSM 20341, ATCC 29723, JCM 12519, NCDO 1636, LMG 11420, LMG 13989",1,"Aerococcus urinaeequi",0
225,,"CCUG 42038 B, CCM 7338, DSM 15634, ATCC BAA 464, CCUG 42038b, CIP 106675, JCM 18987",1,"Aerococcus urinaehominis",0
11058,KSL-107,"DSM 16824, CIP 108938, JCM 13518, KCTC 19073, BCRC 16830",1,"Aeromicrobium alkaliterrae",0
133328,9H-4,"ZIM B1021, LMG 29165, CCM 8650, JCM 32379",1,"Aeromicrobium choanae",0
11064,TYLN1,"DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625",1,"Aeromicrobium flavum",0
,,,,,1
11066,,"DSM 24822, JCM 15749, KCCM 90079, KME 001",1,"Aeromicrobium halocynthiae",0
159668,,"DSM 105424, NBRC 112936, CPCC 204604",1,"Aeromicrobium lacus",0
11061,,"DSM 17939, CCUG 52476, KCTC 19131, Gsoil 161, JCM 16926, JCM 15303",1,"Aeromicrobium panaciterrae",0
11063,,"DSM 19087, JCM 13811, NRRL B-24466, CIP 109549",1,"Aeromicrobium tamlense",0
23547,266,"DSM 27583, CECT 8023, LMG 26707",1,"Aeromonas australiensis",0
283,717,"DSM 23621, CECT 7401, LMG 24681",1,"Aeromonas fluvialis",0
286,A2-67,"DSM 24094, CECT 7402, LMG 24682",1,"Aeromonas sanarellii",0
285,A2-50,"DSM 24096, CECT 7403, LMG 24683",1,"Aeromonas taiwanensis",0
159185,Dysh456,"DSM 105662, NBRC 112897",1,"Aerosticca soli",0
437,JC2043,"DSM 15266, KCTC 12043, IMSNU 14007",1,"Aestuariibacter halophilus",0
438,JC2042,"DSM 15300, KCTC 12042, IMSNU 14006",1,"Aestuariibacter salexigens",0
158658,DBTF-13,"KACC 19432, NBRC 113038",1,"Aestuariibius insulae",0
158420,D6,"DSM 105824, KCTC 39995",1,"Aestuariimicrobium soli",0
160775,,"DSM 105254, KCTC 52945, NBRC 112960, SYSU M10001",1,"Aestuariivirga litoralis",0
133571,"CC-SBABM117, SBABM117","BCRC 17964, CCM 7684, DSM 22517",1,"Agaricicola taiwanensis",0
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,"Agarilytica rhodophyticola",0
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,"Agarivorans aestuarii",0
133657,,"IAM 14998, LMG 21761, MKT 106, JCM 21469, NBRC 102603",1,"Agarivorans albus",0
22908,WH0801,"DSM 26780, CGMCC 1.10131, NRRL B-59247",1,"Agarivorans gilvus",0
132395,"JK 623","DSM 29029, LMG 28559",1,"Agathobacter ruminis",0
132618,SR79,"DSM 100391, KCTC 15532, JCM 30795",1,"Agathobaculum butyriciproducens",0
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,"Agrilactobacillus yilanensis",0
140485,,"LMG 29287, HAMBI 3646, YIC 5082",1,"Agrobacterium salinitolerans",0
13647,Ch11,"DSM 26438, CFBP 7420, HAMBI 3460, LMG 26191",1,"Agrobacterium skierniewicense",0
