"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Cell width"
2905,N35,"DSM 23535, LMG 25767",1,"Acidovorax radicis",0.3-0.5
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,"Acidovorax soli",0.5
23868,"NF 1078","DSM 27981, CCUG 62584, LMG 26971",1,"Acidovorax wautersii",0.45
130449,,"DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548, SAP 284.1",1,"Acinetobacter boissieri",1.5
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,"Acinetobacter defluvii",0.6-0.9
140912,114,"CCUG 65204, DSM 27228",1,"Acinetobacter equi",0.8
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702",1,"Acinetobacter indicus",1
133403,BRTC-1,"ACCC 19936, JCM 31367",1,"Acinetobacter larvae",0.2-0.8
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,"Acinetobacter nectaris",1.5
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,"Acinetobacter piscicola",0.6-1.2
164465,S23,"JCM 33150, KACC 19921",1,"Acinetobacter pullicarnis",0.6-0.8
132918,BQ4-1,"DSM 105039, CFCC 10780, JCM 18011, CCUG 69709",1,"Acinetobacter puyangensis",0.6
134305,JC2129,"KCTC 12704, JCM 14002",1,"Actibacter sediminis",0.8
24522,R46,"DSM 28448, CECT 7668, KCTC 23349",1,"Actibacterium mucosum",0.35
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,"Actibacterium pelagium",0.6-1.2
141055,LS-811,"BCRC 80823, JCM 30681",1,"Actibacterium ureilyticum",0.6-0.8
17007,TT00-28,"DSM 45447, KCTC 19537, NBRC 103682",1,"Actinoallomurus amamiensis",0.75
132110,A3015,"DSM 45445, KCTC 19535, NBCR 103678, NBRC 103678",1,"Actinoallomurus caesius",0.9
17008,TT04-09,"DSM 45450, KCTC 19542, NBRC 103688",1,"Actinoallomurus coprocola",0.75
17010,TT02-47,"DSM 45448, KCTC 19539, NBRC 103685",1,"Actinoallomurus iriomotensis",0.6
,,,,,0.95
17011,TT02-15,"DSM 45452, KCTC 19538, NBRC 103683",1,"Actinoallomurus luridus",0.75
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,"Actinoallomurus purpureus",0.75
17013,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1,"Actinoallomurus yoronensis",0.65
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,"Actinobaculum suis",0.3-0.5
,,,,,0.5
7797,CS5-AC17,"DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660",1,"Actinocatenispora rupis",0.45
7795,TT2-10,"DSM 44816, JCM 12343, PCU 235, BCRC 16831, CGMCC 4.5560, CIP 109347, NBRC 105041, NCIMB 14320",1,"Actinocatenispora thailandica",0.3-0.4
132014,OB1,"DSM 45618, ATCC BAA 2771",1,"Actinocrinis puniceicyclus",1-1.5
13207,"ID 03-0561","DSM 45656, BTCC B554, NBRC 104211",1,"Actinokineospora baliensis",1.5-2
13209,"ID 03-0810","DSM 45657, BTCC B-558, NBRC 105526",1,"Actinokineospora cianjurensis",1.5-2
13208,"ID 03-0784","DSM 45658, BTCC B555, NBRC 104212",1,"Actinokineospora cibodasensis",1.5-1.8
16999,,"DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435",1,"Actinomadura flavalba",0.6
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,"Actinomyces gaoshouyii",0.4-0.6
166249,2129,"CGMCC 4.7483, DSM 106426",1,"Actinomyces lilanjuaniae",0.4-0.6
192,4401292,"DSM 23047, CCUG 53522, KCTC 15158, CSUR P18, JCM 16130",1,"Actinomyces massiliensis",0.35-0.74
193,7400942,"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35",1,"Actinomyces timonensis",0.3-0.5
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,"Actinomyces vulturis",0.5-0.8
196,"2298, 2298/06","DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472",1,"Actinomyces weissii",1.25
24730,H55,"DSM 45460, CCUG 62965",1,"Actinopolyspora mzabensis",0.55
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,"Actinospica acidiphila",0.5
17635,GE134769,"DSM 44927, JCM 14908, NRRL B-24432, BCRC 16839, NBRC 102112",1,"Actinospica robiniae",0.6
133962,CF5-4,"KCTC 29134, CCTCC AB 2012198, DSM 112671, JCM 31479",1,"Actinotalea ferrariae",0.45
158625,THG-T121,"KACC 19191, CGMCC 4.7389, JCM 32747",1,"Actinotalea solisilvae",0.6-0.8
133587,6515J-31,"KACC 14117, NBRC 106133",1,"Adhaeribacter aerolatus",1-1.2
133589,6424S-25,"KACC 14118, NBRC 106134",1,"Adhaeribacter aerophilus",0.9-1.1
3764,MBRG1.5,"DSM 16391, NCIMB 14008",1,"Adhaeribacter aquaticus",1.3
158784,17mud1-7,"KCTC 52873, NBRC 112824",1,"Adhaeribacter swui",0.5-1.0
140958,HY02,"KCTC 52512, JCM 31652",1,"Adhaeribacter terrae",0.7-0.9
133455,DNG6,"CGMCC 1.6961, NBRC 104235",1,"Adhaeribacter terreus",0.4
22982,NR06,"DSM 22242, CCUG 57646, KCTC 15365",1,"Adlercreutzia caecicola",0.5
3077,B7,"DSM 21839, CCUG 56815",1,"Adlercreutzia caecimuris",0.5
3072,do03,"DSM 18785, JCM 14811, AHU 1763, KCTC 15587",1,"Adlercreutzia equolifaciens subsp. celata",0.45
3073,FJC-B9,"DSM 19450, CCUG 54925, JCM 14793, KCTC 15235",1,"Adlercreutzia equolifaciens subsp. equolifaciens",0.65
3076,Mt1B8,"DSM 19490, CCUG 54980",1,"Adlercreutzia mucosicola",0.5
140913,,"ACCC 06485, JCM 30465, LAM 0050",1,"Advenella alkanexedens",0.6-0.8
132905,M-07,"DSM 104993, JCM 17746, KCTC 23732",1,"Advenella faeciporci",1.75
383,WT001,"DSM 17095, LMG 22965, MTCC 7002",1,"Advenella kashmirensis",1.05
384,DPN7,"DSM 17166, LMG 22922",1,"Advenella mimigardefordensis",1.5
160122,Pan181,"DSM 29370, LMG 31346, CECT 9840, VKM B-3426",1,"Aeoliella mucimassa",0.6-0.8
166411,,"KACC 15529, NBRC 108213, IMCC 3088",1,"Aequoribacter fuscus",0.6-0.8
140229,D-24,"DSM 101732, KCTC 42708",1,"Aequorivita aquimaris",0.4-0.5
5479,A71,"DSM 23843, JCM 15070, KCTC 22183",1,"Aequorivita capsosiphonis",0.35
5477,9-3,"DSM 14238, ACAM 643, CIP 107454",1,"Aequorivita sublithincola",0.4-0.5
24014,8-1b,"DSM 26349, CGMCC 1.11023, JCM 18497",1,"Aequorivita viscosa",2
158560,N.8,"KCTC 33824, JCM 31580",1,"Aeribacillus composti",0.5-0.6
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,"Aeriscardovia aeriphila",0.75
11058,KSL-107,"DSM 16824, CIP 108938, JCM 13518, KCTC 19073, BCRC 16830",1,"Aeromicrobium alkaliterrae",1.25
11064,TYLN1,"DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625",1,"Aeromicrobium flavum",0.2-0.4
11062,,"DSM 22238, JCM 14732, KCTC 19207, GBS 39, Gsoil 098",1,"Aeromicrobium ginsengisoli",0.3-0.4
11066,,"DSM 24822, JCM 15749, KCCM 90079, KME 001",1,"Aeromicrobium halocynthiae",0.4-0.5
159668,,"DSM 105424, NBRC 112936, CPCC 204604",1,"Aeromicrobium lacus",0.5-0.6
11061,,"DSM 17939, CCUG 52476, KCTC 19131, Gsoil 161, JCM 16926, JCM 15303",1,"Aeromicrobium panaciterrae",0.2-0.4
11065,HSW-1,"DSM 19178, KACC 20565, JCM 16375",1,"Aeromicrobium ponti",0.7
11063,,"DSM 19087, JCM 13811, NRRL B-24466, CIP 109549",1,"Aeromicrobium tamlense",0.5
23547,266,"DSM 27583, CECT 8023, LMG 26707",1,"Aeromonas australiensis",0.85
280,868E,"DSM 19111, CECT 7113, LMG 23376",1,"Aeromonas bivalvium",0.3-1.0
283,717,"DSM 23621, CECT 7401, LMG 24681",1,"Aeromonas fluvialis",0.6-0.7
262,848T,"DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,"Aeromonas molluscorum",0.5-1.0
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511",1,"Aeromonas rivuli",0.5-0.7
286,A2-67,"DSM 24094, CECT 7402, LMG 24682",1,"Aeromonas sanarellii",0.7
285,A2-50,"DSM 24096, CECT 7403, LMG 24683",1,"Aeromonas taiwanensis",0.8-1
159185,Dysh456,"DSM 105662, NBRC 112897",1,"Aerosticca soli",0.8
437,JC2043,"DSM 15266, KCTC 12043, IMSNU 14007",1,"Aestuariibacter halophilus",0.5-0.6
438,JC2042,"DSM 15300, KCTC 12042, IMSNU 14006",1,"Aestuariibacter salexigens",0.4-0.6
133791,,"KACC 16186, JCM 17789, SC 17",1,"Aestuariibaculum suncheonense",0.6
158658,DBTF-13,"KACC 19432, NBRC 113038",1,"Aestuariibius insulae",0.2-0.8
12671,R27,"DSM 21549, JCM 14204, KCTC 19182, CIP 109737",1,"Aestuariimicrobium kwangyangense",0.8-1.0
158420,D6,"DSM 105824, KCTC 39995",1,"Aestuariimicrobium soli",0.6-0.7
158355,OITF-44,"DSM 105891, KACC 19569, KCTC 62197, NBRC 113118",1,"Aestuariimonas insulae",0.2-0.6
160775,,"DSM 105254, KCTC 52945, NBRC 112960, SYSU M10001",1,"Aestuariivirga litoralis",0.7-0.9
131429,SBSr002,"DSM 24601, NCCB 100377",1,"Aetherobacter fasciculatus",1-1.3
130794,SBSr003,"DSM 24628, NCCB 100378",1,"Aetherobacter rufus",1-1.2
13876,AR2102,"DSM 17143, ATCC BAA 1145",1,"Afifella pfennigii",0.6
159752,2p52,"KCTC 52473, MCCC 1H00151",1,"Agaribacter flavus",0.6-0.8
141009,feces2,"MCCC 1A11450, KCTC 52708",1,"Agaribacterium haliotis",0.7
133571,"CC-SBABM117, SBABM117","BCRC 17964, CCM 7684, DSM 22517",1,"Agaricicola taiwanensis",0.5
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,"Agarilytica rhodophyticola",0.3-1.1
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,"Agarivorans aestuarii",0.5-0.8
133657,,"IAM 14998, LMG 21761, MKT 106, JCM 21469, NBRC 102603",1,"Agarivorans albus",0.8
132395,"JK 623","DSM 29029, LMG 28559",1,"Agathobacter ruminis",0.3-0.4
132618,SR79,"DSM 100391, KCTC 15532, JCM 30795",1,"Agathobaculum butyriciproducens",0.6-0.7
164183,MO-CFX2,"JCM 32065, KCTC 15625",1,"Aggregatilinea lenta",0.5-0.6
6668,,"DSM 18527, JCM 14202, NRIC 0689",1,"Agrilactobacillus composti",0.8
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,"Agrilactobacillus yilanensis",1
140485,,"LMG 29287, HAMBI 3646, YIC 5082",1,"Agrobacterium salinitolerans",0.41-0.5
13647,Ch11,"DSM 26438, CFBP 7420, HAMBI 3460, LMG 26191",1,"Agrobacterium skierniewicense",0.5
7256,"R-17892t 2","DSM 18061, CIP 109629, LMG 22410, JCM 14916",1,"Agrococcus casei",0.35
7258,SSW1-48,"DSM 22002, JCM 14256, KCTC 19198",1,"Agrococcus jejuensis",0.3-0.4
7255,K22-21,"DSM 17612, MTCC 7154, JCM 14301, CGMCC 1.7259, CGMCC 1.8869, NCIMB 14388",1,"Agrococcus lahaulensis",0.6-1
24181,DNG5,"DSM 28114, CGMCC 1.6960, JCM 17488, NBRC 104260",1,"Agrococcus terreus",0.4-0.5
7257,"K 114/01","DSM 19812, LMG 24386, CCUG 58092, JCM 16026",1,"Agrococcus versicolor",0.5-0.6
7279,UMS-62,"DSM 21551, JCM 13584, KCTC 19181, CIP 109546",1,"Agromyces allii",0.3
7281,P27,"DSM 23870, JCM 15913, KCTC 19593",1,"Agromyces atrinae",0.75
132611,AR33,"DSM 101731, LMG 29235, JCM 32431",1,"Agromyces aureus",0.3-0.5
132534,"OAct-353, OAct353","DSM 28305, CGMCC 4.7180, NRRL B-59115, JCM 32487",1,"Agromyces binzhouensis",0.2-0.7
7275,"CD 5","DSM 16389, NBRC 109085, NCIMB 14012, HKI 0327, JCM 14319, CIP 108741, IAM 15274",1,"Agromyces humatus",0.4
141074,,"KCTC 39117, CCTCC AB 2014301, CFH S0483, JCM 31741, BCRC 16983",1,"Agromyces insulae",0.2-0.3
7276,CD1,"DSM 16388, NCIMB 14011, HKI 0325, JCM 14320, IAM 15273",1,"Agromyces italicus",0.5
7274,CD55,"DSM 16390, NCIMB 14013, HKI 0324, JCM 14321, IAM 15275",1,"Agromyces lapidis",0.5
7272,23-23,"DSM 16197, CIP 108987, NBRC 109084, HKI 0321, JCM 14322, IAM 15296, NCIMB 13990",1,"Agromyces neolithicus",0.4
7277,Z33,"DSM 16689, NCIMB 14025, HKI 0340, JCM 14324, IAM 15298",1,"Agromyces subbeticus",0.3-0.5
159616,SJ-23,"DSM 105049, CGMCC 4.7419",1,"Agromyces tardus",0.2-0.4
7280,DS-10,"DSM 22016, JCM 14581, KCTC 19216",1,"Agromyces terreus",0.35
132966,LZD062,"DSM 28886, JCM 30117, MCCC 1K00254",1,"Ahrensia marina",0.6-0.8
6086,,"DSM 19219, CCTCC AB 207002, KCTC 12885, YIM 90637",1,"Aidingimonas halophila",0.2
14116,BZ42,"DSM 22554, CGMCC 1.10187, CIP 110134",1,"Albibacterium bauzanense",0.5-0.6
13844,DS2,"DSM 17890, KCTC 12586",1,"Albimonas donghaensis",1.2
133988,P-50-3,"KACC 16527, CGMCC 1.11030",1,"Albimonas pacifica",1
158774,S1-47,"KACC 18804, JCM 31536",1,"Albirhodobacter confluentis",0.8-1.0
134159,,"CCUG 50924, CIP 108999, LMG 22996",1,"Alcaligenes aquatilis",0.9
394,B-5,"DSM 16502, CGMCC 1.3690",1,"Alcanivorax dieselolei",0.3-0.7
133431,A-11-3,"CGMCC 1.7084, LMG 24624, MCCC 1A01496",1,"Alcanivorax hongdengensis",0.65
133994,R8-12,"MCCC 1A00382, LMG 24621, CCTCC AB 208234",1,"Alcanivorax marinus",0.55
158801,MT13131,"MCCC 1A11581, KCTC 52985",1,"Alcanivorax mobilis",0.3-0.6
140512,19-m-6,"MCCC 1A05629, KCTC 52137",1,"Alcanivorax nanhaiticus",0.5
134021,KYW563,"KCTC 23857, JCM 18275",1,"Algibacter agarilyticus",0.35
134020,KYW560,"KCTC 23855, JCM 18285",1,"Algibacter agarivorans",0.35
140562,SK-16,"NBRC 110220, KCTC 32974",1,"Algibacter aquaticus",0.2-0.4
133907,KYW589,"KCTC 23928, JCM 18287",1,"Algibacter aquimarinus",0.3
5480,"M-3Alg 15-1","DSM 15365, KCTC 12103, KMM 3902, JCM 21761, IAM 15311, LMG 23347, LMG 22573, NBRC 100591",1,"Algibacter lectus",0.4-0.5
,,,,,0.45
134276,,"KCTC 127105, LMG 23988, KMM 6171T",1,"Algibacter mikhailovii",0.35
133987,WS-MY9,"KCTC 32259, CCUG 63684",1,"Algibacter undariae",0.55
134060,WS-MY22,"KCTC 32381, CECT 8301",1,"Algibacter lectus",0.3
166449,,"KCTC 62395, MCCC 1K03486, HHTR 118",1,"Algihabitans albus",0.3-0.4
134052,14A-2-7,"LMG 26421, NBRC 108219",1,"Algimonas ampicilliniresistens",0.38
133831,0C-2-2,"LMG 26424, NBRC 108216",1,"Algimonas porphyrae",0.37
18152,DG1253,"DSM 24793, ATCC BAA 2243",1,"Algiphilus aromaticivorans",0.6
133393,S2-A1,"KACC 18987, JCM 31546",1,"Algoriphagus aestuariicola",0.4-0.7
17695,R-10710,"DSM 15986, LMG 21980",1,"Algoriphagus antarcticus",0.5
17711,T4,"DSM 19759, LMG 24398, NCIMB 14399",1,"Algoriphagus aquaeductus",0.5-2.5
140706,KEM-10,"KCTC 52839, NBRC 112780",1,"Algoriphagus aquaemixtae",0.2-0.6
133458,A8-7,"CGMCC 1.7030, NBRC 104237",1,"Algoriphagus aquatilis",0.3
17704,,"DSM 23399, CCUG 47101, KMM 3958, LMG 21971, CIP 108555",1,"Algoriphagus aquimarinus",0.6
17702,T22,"DSM 17298, ATCC BAA 1189, NBRC 101277, JCM 18970",1,"Algoriphagus boritolerans",0.35
17705,,"CIP 108556, DSM 19830, CCUG 47095, KMM 3957, LMG 21970",1,"Algoriphagus chordae",0.6
133817,,"KCTC 23759, CCUG 61890, CAU 1002",1,"Algoriphagus chungangensis",0.5
140941,HJM-2,"KCTC 42704, NBRC 111222",1,"Algoriphagus confluentis",0.2-0.5
17698,JC2051,"DSM 15292, IMSNU 14013, KCTC 12051",1,"Algoriphagus halophilus",0.3-0.5
17712,7-UAH,"DSM 19315, CCM 7449, CECT 7267",1,"Algoriphagus hitonicola",0.3
133329,S61,"DSM 102044, CCTCC AB 2015446",1,"Algoriphagus iocasae",0.4-0.6
133687,,"KCTC 22647, JCM 16112, CNU 040",1,"Algoriphagus jejuensis",0.3-0.5
133258,OITF-19,"KCTC 52456, NBRC 112418",1,"Algoriphagus litorisediminis",0.2-0.4
17707,MSS-170,"DSM 23445, KCTC 12310, JCM 12597, CIP 108874",1,"Algoriphagus locisalis",0.55
133541,S1-3,"KCTC 22630, CCUG 57608",1,"Algoriphagus lutimaris",0.55
23439,PR1,"DSM 24695, ATCC BAA 2233",1,"Algoriphagus machipongonensis",0.5
17700,JC2050,"DSM 15301, IMSNU 14012, KCTC 12050",1,"Algoriphagus mannitolivorans",0.4-0.5
140525,am2,"KCTC 52549, MCCC 1H00178",1,"Algoriphagus marinus",0.4-0.5
141011,KEM-106,"KCTC 52979, NBRC 112904",1,"Algoriphagus marisflavi",0.3-0.6
133701,DPG-3,"KCTC 23419, CCUG 60523",1,"Algoriphagus namhaensis",0.2-0.4
133513,"CC-Hsuan-617, Hsuan-617","BCRC 17886, CCUG 57471, DSM 22140",1,"Algoriphagus olei",0.5
17699,JC2052,"DSM 15282, IMSNU 14014, KCTC 12052",1,"Algoriphagus ornithinivorans",0.3-0.4
133121,NH1,"MCCC 1H00140, KCTC 52228",1,"Algoriphagus resistens",0.5-1.0
140228,W29,"DSM 100160, KCTC 42940, MCC 2876",1,"Algoriphagus roseus",0.3-0.5
164064,M8-2,"JCM 31446, LMG 29969",1,"Algoriphagus sanaruensis",0.2-0.5
17708,DS-44,"DSM 22685, CIP 108837, KCTC 12545",1,"Algoriphagus terrigena",0.4-0.6
17710,,"DSM 17529, KCTC 12716, KMM 6241",1,"Algoriphagus vanfongensis",0.45
17701,"M-2Alg 14","DSM 15360, CCUG 47094, KMM 3956, LMG 21969, CIP 108557, JCM 13505",1,"Algoriphagus winogradskyi",0.6
17706,MSS-160,"DSM 23446, CIP 108748, JCM 12598, KCTC 12309",1,"Algoriphagus yeomjeoni",0.55
24720,12C11,"DSM 25035, CGMCC 1.11027, MCCC 1F01099",1,"Algoriphagus zhangzhouensis",0.65
498,AAM1,"DSM 23064, BCRC 17888, JCM 15522, JCM 31907",1,"Aliagarivorans marinus",1.1
499,AAT1,"DSM 22990, BCRC 17889, JCM 15537",1,"Aliagarivorans taiwanensis",0.85
414,TA-67,"DSM 14558, IAM 14935, NRIC 0496, JCM 21417, CIP 107723, NBRC 100859",1,"Alicyclobacillus acidiphilus",0.9-1.1
133505,ZJ-6,"CGMCC 1.7072, NBRC 104953",1,"Alicyclobacillus aeris",0.5
429,3-A191,"DSM 17975, IAM 15224, JCM 21678, NBRC 103102",1,"Alicyclobacillus contaminans",0.8-0.9
430,S-TAB,"DSM 17978, IAM 15229, JCM 21683, NBRC 103109",1,"Alicyclobacillus fastidiosus",0.9-1
435,TC-34,"DSM 22381, CGMCC 1.6357, JCM 15090",1,"Alicyclobacillus ferrooxydans",0.4-0.6
431,5-A83J,"DSM 17979, IAM 15227, JCM 21681, NBRC 103104",1,"Alicyclobacillus kakegawensis",0.6-0.7
432,5A-239-2O-A,"DSM 17980, IAM 15370, JCM 21814",1,"Alicyclobacillus macrosporangiidus",0.7-0.8
158721,USBA-GBX-503,"CMPUJ UGB U503, CBMAI 1927",1,"Alicyclobacillus montanus",0.5-1.0
428,RB-718,"DSM 17974, IAM 15230, JCM 21684, NBRC 103105",1,"Alicyclobacillus sacchari",0.6-0.7
433,4A-336,"DSM 17981, IAM 15226, JCM 21680, NBRC 103103",1,"Alicyclobacillus shizuokensis",0.7-0.8
425,CsHg2,"DSM 16176",1,"Alicyclobacillus vulcanalis",0.55
166399,CA12,"DSM 100707, LMG 29076",1,"Alienimonas californiensis",1.3-1.8
166424,F3105,"MCCC 1H00223, KCTC 52891",1,"Aliidiomarina celeris",0.6-0.9
140844,GBPy7,"IBRC-M 10763, CECT 8339",1,"Aliidiomarina iranensis",0.6-0.9
6238,CF12-14,"DSM 22154, CCTCC AB 208166, KACC 13974",1,"Aliidiomarina maris",0.3-0.6
140532,GBSy1,"CECT 8340, IBRC-M 10764",1,"Aliidiomarina sedimenti",0.3-0.4
133375,Y4G10-17,"CGMCC 1.15759, KCTC 52381",1,"Aliidiomarina soli",0.1-0.3
133686,AIT1,"JCM 16052, BCRC 80035, NCCB 100321",1,"Aliidiomarina taiwanensis",0.5-0.8
133344,7M-Z19,"NBRC 112240, KCTC 52134, CGMCC 1.15725, DSM 107831",1,"Aliidongia dinghuensis",0.3-0.7
140832,2W32,"KCTC 42497, CICC 23869",1,"Aliifodinibius halophilus",0.5-0.7
24787,,"DSM 21986, ACCC 10715, KCTC 23442, YIM D15",1,"Aliifodinibius roseus",0.3
140954,KHM44,"KACC 19060, NBRC 112531",1,"Aliifodinibius salicampi",0.2-0.4
166301,WN023,"KCTC 52855, ACCC 19978",1,"Aliifodinibius salipaludis",1.0-1.5
24788,,"DSM 21194, ACCC 10714, YIM J21",1,"Aliifodinibius sediminis",0.3
13769,"CV919-312, CVSP","DSM 16950, ATCC BAA 1102",1,"Aliiroseovarius crassostreae",0.9
24498,MA1-10,"DSM 27840, CCUG 60745, KCTC 23462",1,"Aliiroseovarius halocynthiae",0.4-0.7
130625,M-M10,"DSM 29439, CCUG 62413, KCTC 23959",1,"Aliiroseovarius sediminilitoris",0.35
166218,MYP11,"KCTC 62899 NBRC 113544",1,"Aliishimia ponticola",0.4-0.8
